Gender,Age,Dependents,Education,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Interest_Rate,Loan_Type,Co_Applicant,Bank_Account_History,Transaction_Frequency,Loan_Approval_Status,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Expense_to_Income_Ratio,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Employment_Status_Employed,Employment_Status_Self-Employed,Employment_Status_Unemployed,Occupation_Type_Business,Occupation_Type_Freelancer,Occupation_Type_Professional,Occupation_Type_Salaried,Residential_Status_Other,Residential_Status_Own,Residential_Status_Rent,City_Town_Rural,City_Town_Suburban,City_Town_Urban,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Personal,Loan_Purpose_Vehicle
0,0.2995430112562828,1,1,1.3400852397721643,-0.381321087725782,0.4619758854484069,1,-1.6008114480387998,-1.5889824373916317,0,0.3593881875811862,0.8116856279348258,-0.5826720280456777,1,0,1.5651083467188676,1.104860881493864,1,-1.091526975658926,-1.2666420261004872,-0.7484492242640929,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
0,-0.7515947128260573,3,0,-1.1011734308989352,-0.7787999741915836,-0.7443583420722293,1,0.8284370344847938,0.806288382318234,0,-1.964546781964896,0.7353606207420263,1.4755961024715274,0,1,1.2170030154498075,1.5208376195655302,0,1.3473615447631753,-2.337004897538472,-0.071841167456646,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
1,0.0128690865065537,0,1,0.2616571293677964,1.089736694029204,0.6557394142211517,1,-0.7155238939077015,1.0938224583578116,1,0.2573545869211347,1.1322506581445837,-1.724814958449808,0,1,1.2170030154498075,0.6888841434221973,1,0.1796949049133639,-0.2163340589142162,0.095147726498213,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
1,-1.3249425623255155,0,1,1.091572537003368,0.5587357738574147,0.9182577435261606,0,0.8964559919954544,-0.1748596089850215,1,1.840778550954857,1.269635671091623,-0.296382903010342,0,1,-0.8716289721645514,1.6594965322560855,1,-0.5878369231254477,0.4908319458403402,-0.4069905074246582,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
0,0.7773328858391647,3,2,0.2368534507992312,0.3349127115757012,0.7369950875774639,0,0.0728019422209548,0.3909742090583383,0,-0.0042983649519936,-0.2110694684486876,-0.4922649359292559,0,1,-0.5235236408954915,-0.2817282454116911,1,-0.1387763772468787,-0.5429976711410855,-0.2162481127116164,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False
0,0.586216936006012,2,0,0.76621322286808,1.2618489108872113,0.4307237033882868,1,1.5555458088538556,-0.0976374906106829,0,0.9025851181709186,0.5521806034793075,0.227978231264905,0,1,1.5651083467188676,0.4115663180410863,1,-0.500033339746403,-0.1081459580164729,-0.065562186471246,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
1,2.0195865597546576,0,1,-1.0105532192438045,-0.9316170994735812,-1.8256838413523853,1,-0.9257579982952434,-0.3848252791239182,0,-1.8303437428295928,0.4300605919708282,-1.634407866333386,1,1,0.520792352911688,-0.0044104200305801,0,0.0902112676479747,-2.0976119810751643,-0.2810170909169683,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0,2.115144534671234,0,0,-1.5934676607276257,1.1646016493441218,-2.269464826606091,0,0.111947546339335,-0.3707429197193303,0,-1.4220865560730698,-1.5391245936033993,0.6348101457888035,1,0,-0.1754183096264317,-0.9750228088644686,0,1.0720066180690744,1.459700706028168,3.603831896676812,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
0,-1.1338266124923626,0,0,-0.2435148568283205,-0.8135311390284012,0.3307167207959025,1,-1.296461316728344,0.7019404077137466,0,0.0221002200563229,0.628505610672107,0.7463122260657241,0,0,-1.2197343034336112,-0.6977049834833576,0,0.270241467611735,0.3263747544664471,-0.5812475470801235,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
0,0.6817749109225884,3,2,-0.0486408088421099,-0.4299447184973267,0.6182367957490075,1,-1.2556499422219474,0.3734289743903271,0,0.2574773710374524,0.1400255646381901,-0.296382903010342,1,1,1.2170030154498075,-0.2817282454116911,1,-0.0235837974647536,0.3152033329729582,-0.4545282992830426,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False
0,0.6817749109225884,2,2,1.189079548802818,-1.2156408474724452,0.6869915962812717,0,-1.5679124828754802,0.1062104332294993,0,1.9054857802543124,0.0942305603225104,-1.4686615307866124,0,0,1.5651083467188676,0.6888841434221973,1,-0.50633866832133,0.4286907760907973,-0.9879826611428566,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
1,2.592934409254116,1,2,-1.570399679756409,-0.4214548782038824,-2.3632213727864517,0,1.3579437965754366,1.2648884963709204,0,-1.2403660639227976,0.6895656164263466,-1.049775337313858,1,0,-1.567839634702671,0.2729074053505308,0,3.5859564016345864,2.139271704518171,1.1744001224072869,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
1,-0.94271066265921,1,1,-0.8878226020377211,0.7323915980415028,-2.263214390194067,1,0.7577112000936069,-0.0578144250813155,1,-0.6083962172353308,-0.7300795173597243,-1.4746886702610404,0,0,1.5651083467188676,-0.4203871581022466,0,0.2598140560271845,0.7497501014625322,0.9048013677506368,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
1,0.7773328858391647,3,1,-1.6359642567401331,0.1983034632175518,-1.769429913644169,2,1.1545809950384611,-1.2616252958226863,0,-1.7216797998883833,0.2316155732695495,-0.8719747228182279,1,0,-1.567839634702671,-0.8363638961739132,0,-0.3308277605300395,0.2705157140064284,2.3775088970152174,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0,-0.3693628131597518,0,1,-1.0216392877688067,-0.9941331961798529,-0.913120125196878,0,0.4261534857788867,0.1777765220069132,0,-1.650096660075134,1.437550686915782,1.3068361971875395,0,1,-0.1754183096264317,1.104860881493864,0,0.6186385951551969,-1.5897530208641628,-0.325221504400143,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
0,0.9684488356723174,3,1,1.1814368803499755,-1.7335211053725477,0.3744697756800706,1,-1.103856615613973,1.6118685977659306,0,1.1761481293268687,-0.2873944756414872,0.4781045194536723,1,0,1.2170030154498075,-0.4203871581022466,1,0.0141521420111221,-0.3047403949540985,-1.150313337651783,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False
1,0.2995430112562828,0,2,-0.6226248062363459,0.8882959379756618,0.7369950875774639,2,-1.443812588968275,1.4891673842653,0,-0.1312571412245486,0.460590594847948,1.653396716967157,1,1,-1.567839634702671,-0.8363638961739132,1,1.1376144674220772,0.9918205283579232,0.6692208628608399,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
1,0.4906589610894356,3,1,-0.6309393576300973,1.0905084976922443,-0.925620998020926,0,-0.5887865302194707,1.0030951264561223,0,-1.5896868748468005,0.0331705545682707,-0.4711699477687574,1,0,0.8688976841807479,0.9662019688033084,0,0.8033853893584865,-2.045894043790617,0.8097586928853437,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0.8728908607557411,1,0,-1.2616134781635484,0.7779280141608859,-0.6193496138317489,1,-1.3004175213998823,1.3855119847134971,1,-1.90806608845873,-0.0126244497474089,-0.9081375596647968,1,1,0.8688976841807479,1.5208376195655302,0,2.369196087146213,-1.880790032685468,1.706137718242448,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False
1,-0.0826888884100226,3,0,1.2635185796310515,0.6089030119550402,0.9432594891742566,2,1.4433839360607663,-1.325803917371464,0,0.7322835488381974,-1.569654596480519,-0.8147168978111609,0,0,-1.567839634702671,0.4115663180410863,0,-1.0018689022628506,-0.8341874298327598,-0.4328499110565142,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
1,0.2995430112562828,3,1,1.4191434658191489,-1.1508093397770522,0.4369741398003108,1,-1.1300230921257273,0.167272467041196,0,0.998233944782447,-1.6612446051118783,0.0320961983459908,0,0,-0.8716289721645514,-1.3909995469361351,1,-0.5252715330911234,-0.7171279602680338,-0.9862690989175128,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
0,0.7773328858391647,1,0,1.416959846261194,0.200618874206673,0.8620038158179444,2,1.32948688578016,0.4902432999431382,0,1.649849250080754,0.0942305603225104,-0.5736313188340358,1,1,0.520792352911688,1.382178706874975,1,-0.4205423341173561,-0.0926404491176563,-0.5875413852561472,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
1,0.3951009861728592,1,1,1.445682841985063,1.0403412595946189,0.2182088653794701,2,-0.7289888712108323,0.9930527881921948,0,1.908800951394892,1.254370669653063,1.2646462208665428,0,1,0.1726870216426281,1.5208376195655302,1,-0.2647274338727441,0.1221544813990119,-0.3469652119816368,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
0,-1.0382686375757864,0,0,-0.4061385236508887,-1.568355121481904,-1.9944456244770337,0,1.3577355752769344,-1.0473887461922342,0,-0.5136068794380266,-0.3179244785186069,-0.0613244635076447,1,1,-0.8716289721645514,0.1342484926599753,0,-0.7095922967197624,-0.2922490519451913,-0.9556095600766018,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False
1,-0.5604787629929044,0,1,1.117440030228373,-1.4494973573736838,0.1682053740832779,0,-0.2549383816212282,-0.0768602390301434,0,1.6519365800581558,0.4300605919708282,-1.6223535873845296,0,1,0.8688976841807479,1.104860881493864,1,-0.557539032762776,0.2601536175779179,-1.0570366009721666,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
